"areaid","areaname","welfare","welfare_chld"
1011101,"Stülerstraße",10.09,15.44
1011102,"Großer Tiergarten",4.76,0
1011103,"Lützowstraße",22.21,36.8
1011104,"Körnerstraße",24.81,42.14
1011105,"Nördlicher Landwehrkanal",2.82,3.53
1011201,"Wilhelmstraße",12.13,19.03
1011202,"Unter den Linden Nord",3.35,11.11
1011203,"Unter den Linden Süd",6.59,6.25
1011204,"Leipziger Straße",10.28,19.91
1011301,"Charitéviertel",3.68,3.92
1011302,"Oranienburger Straße",8.16,10.44
1011303,"Alexanderplatzviertel",11.69,19.64
1011304,"Karl-Marx-Allee",23.54,36.33
1011305,"Heine-Viertel West",10.07,17
1011306,"Heine-Viertel Ost",9.67,15.43
1011401,"Invalidenstraße",6.29,7.7
1011402,"Arkonaplatz",4.46,3.53
1022101,"Huttenkiez",32.74,66.92
1022102,"Beusselkiez",29.07,51.86
1022103,"Westhafen",57.3,60.94
1022104,"Emdener Straße",23.48,40.66
1022105,"Zwinglistraße",29.85,50.84
1022106,"Elberfelder Straße",12.41,16.22
1022201,"Stephankiez",20.31,34.06
1022202,"Heidestraße",23.48,33.33
1022203,"Lübecker Straße",36.69,49.52
1022204,"Thomasiusstraße",11.1,13.83
1022205,"Zillesiedlung",36.66,37.44
1022206,"Lüneburger Straße",12.11,13.47
1022207,"Hansaviertel",8.86,14.65
1033101,"Soldiner Straße",46.52,65.26
1033102,"Gesundbrunnen",36.76,54.68
1033201,"Brunnenstraße",45.94,54.89
1033202,"Humboldthain Süd",33.11,45.58
1033203,"Humboldthain Nordwest",41.51,60.51
1044101,"Rehberge",28.63,48.26
1044102,"Schillerpark",29.37,45.61
1044103,"Westliche Müllerstraße",27.26,53.81
1044201,"Reinickendorfer Straße",42.91,64.2
1044202,"Sparrplatz",26.8,50.13
1044203,"Leopoldplatz",37.25,58.92
2010101,"Askanischer Platz",28.38,39.81
2010102,"Mehringplatz",41.46,51.81
2010103,"Moritzplatz",49,59.77
2010104,"Wassertorplatz",45.07,59.56
2020201,"Gleisdreieck/Entwicklungsgebiet",4.55,6.45
2020202,"Rathaus Yorckstraße",19.39,27.3
2020203,"Viktoriapark",13.26,17.78
2020204,"Urbanstraße",14.21,19.21
2020205,"Chamissokiez",13.34,18.42
2020206,"Graefekiez",20.68,26.98
2030301,"Oranienplatz",33.43,49.48
2030302,"Lausitzer Platz",26.05,33.86
2030401,"Reichenberger Straße",20.36,28.02
2030402,"Wrangelkiez",18.89,23.93
2040501,"Barnimkiez",25,35.7
2040502,"Friedenstraße",14.66,23.31
2040503,"Richard-Sorge-Viertel",10.18,13.98
2040701,"Andreasviertel",21.96,38.55
2040702,"Weberwiese",8.51,8.65
2040703,"Wriezener Bahnhof/Entwicklungsgebiet",30.24,58.54
2050601,"Hausburgviertel",12.94,17.19
2050602,"Samariterviertel",11.66,13.34
2050801,"Traveplatz",15.85,23.06
2050802,"Boxhagener Platz",9.4,11.78
2050803,"Stralauer Kiez",11.81,18.47
2050804,"Stralauer Halbinsel",4.19,2.81
3010101,"Bucher Forst",14.4,12.61
3010102,"Buch",28.01,31.88
3010104,"Lietzengraben",33.67,22.22
3020203,"Blankenfelde",6.66,5.57
3020209,"Niederschönhausen",7.24,6.42
3020210,"Herthaplatz",10.25,11.11
3020307,"Buchholz",8.05,9.99
3030405,"Karow Nord",16.56,20.4
3030406,"Alt-Karow",3.64,2.57
3030711,"Blankenburg",2.86,1.96
3030715,"Heinersdorf",7.55,7.46
3030716,"Märchenland",5.08,6.4
3040508,"Rosenthal",5.52,5.93
3040512,"Wilhelmsruh",7.34,9.09
3040513,"Schönholz",5.22,3.36
3040614,"Pankow Zentrum",10.59,9.21
3040818,"Pankow Süd",11.01,12.11
3050919,"Gustav-Adolf-Straße",21.93,28.8
3050920,"Weißer See",10.68,9.83
3050923,"Weißenseer Spitze",11.62,11.09
3050924,"Behaimstraße",15.55,14.53
3050925,"Komponistenviertel Weißensee",13.37,13.39
3051017,"Rennbahnstraße",15.55,17.91
3051021,"Buschallee",18.16,25.76
3051022,"Hansastraße",16.28,24.96
