"traeger","priv_schule_typ","name","ort","plz","lng","lat"
"oeff","","Grundschule am Arkonaplatz","Berlin Mitte","10115",13.4003901,52.53684
"oeff","","Papageno-Grundschule","Berlin Mitte","10115",13.3911746,52.5327417
"oeff","","Kastanienbaum-Grundschule","Berlin Mitte","10119",13.4018,52.52678
"oeff","","Grundschule Neues Tor","Berlin Mitte","10115",13.38033,52.52759
"oeff","","GutsMuths-Grundschule","Berlin Mitte","10179",13.4239517,52.5164193
"oeff","","Grundschule am Brandenburger Tor","Berlin Mitte","10117",13.3828681,52.5131155
"oeff","","City-Grundschule","Berlin Mitte","10179",13.40892,52.50737
"oeff","","Kurt-Tucholsky-Grundschule","Berlin Mitte","10559",13.35303,52.53026
"oeff","","Anne-Frank-Grundschule","Berlin Mitte","10557",13.3553702,52.5185441
"oeff","","Moabiter Grundschule","Berlin Mitte","10557",13.35657,52.5219744
"oeff","","Carl-Bolle-Grundschule","Berlin Mitte","10551",13.3322305,52.5288434
"oeff","","Hansa-Grundschule","Berlin Mitte","10555",13.34019,52.5214
"oeff","","Gottfried-Röhl-Grundschule","Berlin Mitte","13349",13.35724,52.5571315
"oeff","","Rudolf-Wissell-Grundschule","Berlin Mitte","13357",13.3961101,52.551576
"oeff","","Gesundbrunnen-Grundschule","Berlin Mitte","13357",13.3828669,52.5533512
"oeff","","Brüder-Grimm-Grundschule","Berlin Mitte","13353",13.3578141,52.5414735
"oeff","","Wilhelm-Hauff-Grundschule","Berlin Mitte","13359",13.3843568,52.5577854
"oeff","","Wedding-Grundschule","Berlin Mitte","13347",13.3638673,52.5468117
"oeff","","Carl-Kraemer-Grundschule","Berlin Mitte","13359",13.3827129,52.5611361
"oeff","","Humboldthain-Grundschule","Berlin Mitte","13355",13.380278,52.5435081
"oeff","","Andersen-Grundschule","Berlin Mitte","13359",13.3889099,52.56553
"oeff","","Heinrich-Seidel-Grundschule","Berlin Mitte","13355",13.39407,52.54695
"oeff","","Gustav-Falke-Grundschule","Berlin Mitte","13355",13.39162,52.53795
"oeff","","Vineta-Grundschule","Berlin Mitte","13355",13.3970734,52.5421668
"oeff","","Möwensee-Grundschule","Berlin Mitte","13351",13.3337501,52.55575
"oeff","","Erika-Mann-Grundschule","Berlin Mitte","13347",13.35786,52.55099
"oeff","","Anna-Lindh-Schule (Grundschule)","Berlin Mitte","13351",13.3419394,52.550548
"oeff","","Albert-Gutzmann-Schule (Grundschule)","Berlin Mitte","13357",13.373335,52.5491887
"oeff","","Allegro-Grundschule","Berlin Mitte","10785",13.3627766,52.5030147
"oeff","","Leo-Lionni-Grundschule","Berlin Mitte","13353",13.3613303,52.5444625
"oeff","","Grundschule am Koppenplatz","Berlin Mitte","10115",13.3974622,52.5279258
"oeff","","Miriam-Makeba-Grundschule","Berlin Mitte","10555",13.3314459,52.5223198
"oeff","","48. Schule (Grundschule)","Berlin Mitte","13353",13.3721391,52.5382606
"oeff","","Spartacus-Grundschule","Berlin Friedrichshain-Kreuzberg","10249",13.43582,52.52106
"oeff","","Hausburg-Grundschule","Berlin Friedrichshain-Kreuzberg","10249",13.4542842,52.5241974
"oeff","","Justus-von-Liebig-Grundschule","Berlin Friedrichshain-Kreuzberg","10247",13.45812,52.5188704
"oeff","","Pettenkofer-Grundschule","Berlin Friedrichshain-Kreuzberg","10247",13.4709998,52.5186561
"oeff","","Ludwig-Hoffmann-Grundschule","Berlin Friedrichshain-Kreuzberg","10243",13.4488861,52.5143567
"oeff","","Grundschule am Traveplatz","Berlin Friedrichshain-Kreuzberg","10247",13.4718545,52.511492
"oeff","","Zille-Grundschule","Berlin Friedrichshain-Kreuzberg","10245",13.4652946,52.5089841
"oeff","","Modersohn-Grundschule","Berlin Friedrichshain-Kreuzberg","10245",13.4602401,52.50705
"oeff","","Thalia-Grundschule","Berlin Friedrichshain-Kreuzberg","10245",13.476151,52.4928814
"oeff","","Kurt-Schumacher-Grundschule","Berlin Friedrichshain-Kreuzberg","10969",13.3885155,52.5051039
"oeff","","Charlotte-Salomon-Grundschule","Berlin Friedrichshain-Kreuzberg","10965",13.38183,52.49041
"oeff","","Galilei-Grundschule","Berlin Friedrichshain-Kreuzberg","10969",13.3917152,52.501744
"oeff","","Lenau-Grundschule","Berlin Friedrichshain-Kreuzberg","10961",13.3916533,52.4939126
"oeff","","Nürtingen-Grundschule","Berlin Friedrichshain-Kreuzberg","10997",13.4274847,52.5052754
"oeff","","Fanny-Hensel-Grundschule","Berlin Friedrichshain-Kreuzberg","10963",13.3795127,52.5030328
"oeff","","Bürgermeister-Herz-Grundschule","Berlin Friedrichshain-Kreuzberg","10961",13.4051463,52.4949643
"oeff","","Reinhardswald-Grundschule","Berlin Friedrichshain-Kreuzberg","10961",13.3999,52.49059
"oeff","","Jens-Nydahl-Grundschule","Berlin Friedrichshain-Kreuzberg","10999",13.4160825,52.4971355
"oeff","","Fichtelgebirge-Grundschule","Berlin Friedrichshain-Kreuzberg","10997",13.44495,52.49575
"oeff","","Otto-Wels-Grundschule","Berlin Friedrichshain-Kreuzberg","10969",13.4016232,52.4999227
"oeff","","Lemgo-Grundschule","Berlin Friedrichshain-Kreuzberg","10967",13.416454,52.4941982
"oeff","","Hunsrück-Grundschule","Berlin Friedrichshain-Kreuzberg","10999",13.426632,52.4977316
"oeff","","Heinrich-Zille-Grundschule","Berlin Friedrichshain-Kreuzberg","10997",13.4291834,52.5007392
"oeff","","Adolf-Glaßbrenner-Grundschule","Berlin Friedrichshain-Kreuzberg","10965",13.3807594,52.491504
"oeff","","Clara-Grunwald-Grundschule","Berlin Friedrichshain-Kreuzberg","10963",13.3848935,52.500939
"oeff","","Aziz-Nesin-Grundschule","Berlin Friedrichshain-Kreuzberg","10961",13.4054549,52.4931543
"oeff","","Jane-Goodall-Grundschule","Berlin Friedrichshain-Kreuzberg","10247",13.4677775,52.5127707
"oeff","","Rosa-Parks-Grundschule","Berlin Friedrichshain-Kreuzberg","10999",13.4314741,52.4948978
"oeff","","Blumen-Grundschule","Berlin Friedrichshain-Kreuzberg","10243",13.4301583,52.5163631
"oeff","","Schule am Hamburger Platz (Grundschule)","Berlin Pankow","13086",13.43681,52.55381
"oeff","","Heinrich-Roller-Grundschule","Berlin Pankow","10405",13.4236317,52.5306837
"oeff","","Grundschule am Kollwitzplatz","Berlin Pankow","10435",13.4148901,52.53768
"oeff","","Grundschule an der Marie","Berlin Pankow","10405",13.4255886,52.5361463
"oeff","","Homer-Grundschule","Berlin Pankow","10407",13.43237,52.53371
"oeff","","Bötzow-Grundschule","Berlin Pankow","10407",13.4395457,52.534897
"oeff","","Grundschule am Planetarium","Berlin Pankow","10405",13.4310942,52.5413687
"oeff","","Thomas-Mann-Grundschule","Berlin Pankow","10437",13.4147901,52.54663
"oeff","","Grundschule am Hohen Feld","Berlin Pankow","13125",13.4965805,52.6153129
"oeff","","Schule am Falkplatz (Grundschule)","Berlin Pankow","10437",13.4061705,52.547235
"oeff","","Paul-Lincke-Grundschule","Berlin Pankow","10409",13.44553,52.54129
"oeff","","Rudolf-Dörrier-Grundschule","Berlin Pankow","13158",13.3760807,52.5916014
"oeff","","Bornholmer Grundschule","Berlin Pankow","10439",13.40768,52.55572
"oeff","","Schule am Senefelderplatz","Berlin Pankow","10435",13.41187,52.53452
"oeff","","Grundschule am Teutoburger Platz","Berlin Pankow","10119",13.4084631,52.5336614
"oeff","","Grundschule am Weißen See","Berlin Pankow","13088",13.47671,52.55406
"oeff","","Picasso-Grundschule","Berlin Pankow","13088",13.461082,52.547821
